id,zh,en
QianMo-QMtato,QMtato,QMtato
QMTATO_ENABLE_ITEMS,是否启用MOD物品(重启游戏后生效),Enable Mod Items(Restart Game To Apply)
QMTATO_ENABLE_WEAPONS,是否启用MOD武器(重启游戏后生效),Enable Mod Weapons(Restart Game To Apply)
QMTATO_ENABLE_CHARACTERS,是否启用MOD角色(重启游戏后生效),Enable Mod Characters(Restart Game To Apply)
WEAPON_YONGCHUN,咏春拳,Wing Chun
DOGE_CAP_SHOW,[color=#00ff00]+{0}[/color] %闪避上限,[color=#00ff00]+{0}[/color] % Dodge Cap
WEAPON_GHOST_SMG,幽魂冲锋枪,Ghost SMG
GHOST_SMG_GAIN_LUCK,使用该武器在敌袭中每击杀{2}名敌人便会[color=#00ff00]+[/color]{0}{1},[color=#00ff00]+[/color]{0} {1} for every {2} enemies you kill during a wave with this weapon
ITEM_ILLEGAL_GOLD,不义之财,Ill-gotten Gains
ITEM_ILLEGAL_GOLD_GET,[color=#00ff00]+{0} [/color]材料,[color=#00ff00]+{0} [/color]Materials
ITEM_ILLEGAL_UNPICKED_GOLD_GET,[color=#00ff00]+{0} [/color]未捡取的材料,[color=#00ff00]+{0} [/color]Materials that haven't been picked up
ITEM_TRENCH,生存背包,Survival Backpack
ITEM_MEATBALL,危险的蛋糕,Dangerous Cake
ITEM_RANGED_MASTERY,射击精通,Master of Shooting
ITEM_CURE,兴奋剂,Analeptic
ITEM_ARMOR_HP,血肉之躯,Flesh Body
WEAPON_FACE_PUNCHER,面部穿孔机,Face Puncher
CHARACTER_AVERAGE,平衡者,Balance
CHARACTER_AVERAGE_TAG_DETAIL,商店更有可能出售{0}道具([color=red]你缺少[/color]{0}) 升级时增加 [color=#00ff00]1[/color] 随机属性,Shops have more chance to sell {0} item ([color=red]You lack[/color] {0}). Add [color=#00ff00]1[/color] random stat when you levelled up.
MAX_STATS_DIFFERENCE,面板数值差,Damage Difference
BONUS_DAMAGE_BY_STATS_CHANCE,%伤害几率,% Chance of Bonus Damage
BONUS_DAMAGE_BY_STATS_CHANCE_HINT,当数值差为[color=#00ff00]3[/color]的倍数时获得爆炸伤害加成 [[color=#00ff00]+{0}%[/color]] 伤害排序:{1},When the damage difference is a multiple of [color=#00ff00]3[/color] you get explosion damage bonus [[color=#00ff00]+{0}%[/color]] the order of damage : {1}
CHARACTER_BERSERKER,狂战士,Berserker
